2020-09-26 13:03:36,187|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:03:36,188|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.000997781753540039
2020-09-26 13:03:36,189|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0
2020-09-26 13:05:47,052|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:05:47,057|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.00498652458190918
2020-09-26 13:05:47,061|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0019981861114501953
2020-09-26 13:06:09,120|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:06:09,125|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0039904117584228516
2020-09-26 13:06:09,127|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.001993894577026367
2020-09-26 13:07:02,768|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:07:02,772|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.003023862838745117
2020-09-26 13:07:02,774|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0019969940185546875
2020-09-26 13:07:10,052|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:07:10,056|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0030231475830078125
2020-09-26 13:07:10,058|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0009984970092773438
2020-09-26 13:07:21,509|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:07:21,513|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0029916763305664062
2020-09-26 13:07:21,516|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0019981861114501953
2020-09-26 13:07:55,894|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:07:55,898|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.002991914749145508
2020-09-26 13:07:55,901|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0029947757720947266
2020-09-26 13:08:26,308|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,927|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,930|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,931|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,931|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,938|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.005980730056762695
2020-09-26 13:45:26,938|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.005980730056762695
2020-09-26 13:45:26,942|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.002994060516357422
2020-09-26 13:45:26,942|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.002994060516357422
2020-09-26 13:45:26,959|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,959|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,961|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,961|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,961|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,965|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.002991914749145508
2020-09-26 13:45:26,965|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.002991914749145508
2020-09-26 13:45:26,965|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.002991914749145508
2020-09-26 13:45:26,967|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0009970664978027344
2020-09-26 13:45:26,967|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0009970664978027344
2020-09-26 13:45:26,967|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0009970664978027344
2020-09-26 13:45:26,975|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,975|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,975|INFO|                   logUtils.py|                                __init__|  16| init logger success!
2020-09-26 13:45:26,976|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,976|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,976|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,976|INFO|                   logUtils.py|                                init_log|  46| init logger success!
2020-09-26 13:45:26,978|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                pre_process_before_count|  25| duration pre process before count: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0
2020-09-26 13:45:26,978|INFO|               word_counter.py|                              word_count|  38| duration count dictionary: 0.0
